City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,montevideo,-34.8335,-56.1674,23.01,60,20,7.72,UY,1698606841
341,hillvue,-31.1244,150.915,7.95,81,0,1.54,AU,1698607110
342,yokadouma,3.5167,15.05,23.09,87,46,0.91,CM,1698607110
343,itamaraca,-7.7478,-34.8256,28.03,67,100,6.29,BR,1698607111
344,tarauaca,-8.1614,-70.7656,26.67,73,100,2.25,BR,1698607111
345,al quwayrah,29.8004,35.3116,22.0,54,43,1.36,JO,1698607111
346,dzierzgon,53.922,19.3471,13.21,83,100,6.13,PL,1698607111
347,san antonio,29.4241,-98.4936,32.25,57,75,3.6,US,1698607053
348,arteaga,18.4667,-102.4167,26.89,58,37,0.6,MX,1698607111
349,kharkhorin,47.1975,102.8238,0.16,64,100,0.5,MN,1698607112
350,vodnany,49.1479,14.1751,12.91,87,99,1.94,CZ,1698607112
351,rupert,42.6191,-113.6772,2.97,35,0,4.12,US,1698607112
352,nouadhibou,20.931,-17.0347,22.2,85,0,8.5,MR,1698607112
353,nyurba,63.2842,118.3319,-9.9,92,98,3.21,RU,1698607112
354,nimbahera,24.6167,74.6833,22.68,40,30,2.52,IN,1698607112
355,lerwick,60.1545,-1.1494,8.0,68,14,13.15,GB,1698607112
356,codrington,-38.2667,141.9667,9.94,87,7,6.15,AU,1698607113
357,morehead city,34.7229,-76.726,28.01,76,0,4.63,US,1698607113
358,huarmey,-10.0681,-78.1522,23.14,74,19,5.92,PE,1698607113
359,pandan,14.0453,124.1694,27.24,80,100,5.94,PH,1698607113
360,klin,56.3333,36.7333,-0.67,89,100,2.27,RU,1698607113
361,castro marim,37.2207,-7.4435,18.49,78,100,6.71,PT,1698607113
